model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
o4mini,IR,IR__delegation_map_v__impl1_set.rs,TIMEOUT,487560,claude,27893,4,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_002/o-IR__delegation_map_v__impl1_set-20251126-072356/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__delegation_map_v__impl1_set-20251130-223431/verus-repair.log
o4mini,OS,OS__pagetable__pagetable_impl_base__impl0__get_entry_l2.rs,FAILED,484961,claude,99016,4,postcondition_repair precondition_repair ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_007/o-OS__pagetable__pagetable_impl_base__impl0__get_entry_l2-20251129-012206/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__pagetable__pagetable_impl_base__impl0__get_entry_l2-20251202-065643/verus-repair.log
gpt5,OS,OS__process_manager__container_tree__new_container_preserve_tree_inv_4.rs,TIMEOUT,482615,claude-s4,97815,4,postcondition_repair INSTANTIATE_FORALL SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv_4-20251129-045746/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__container_tree__new_container_preserve_tree_inv_4-20251204-094739/verus-repair.log
claude-s4,ST,ST__subregion_serialize_and_write_relative.rs,FAILED,481131,claude,99951,7,postcondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_008/o-ST__subregion_serialize_and_write_relative-20251204-102229/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__subregion_serialize_and_write_relative-20251202-123521/verus-repair.log
claude-s4,OS,OS__memory_manager__spec_impl__impl0__resolve_pagetable_mapping.rs,FAILED,478722,claude,240976,9,postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__memory_manager__spec_impl__impl0__resolve_pagetable_mapping-20251204-073456/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__memory_manager__spec_impl__impl0__resolve_pagetable_mapping-20251202-095403/verus-repair.log
gpt5,OS,OS__kernel__mem_util__impl0__create_entry.rs,TIMEOUT,478522,claude,504088,6,postcondition_repair precondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__mem_util__impl0__create_entry-20251128-185713/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__mem_util__impl0__create_entry-20251202-065004/verus-repair.log
claude,NR,NR__impl_u__l2_impl__lemma_aligned_addr_mask_facts.rs,FAILED,478373,claude-s4,214986,12,postcondition_repair BIT_VECTOR_REASONING plain_text_repair BIT_VECTOR_REASONING BIT_VECTOR_REASONING plain_text_repair NONLINEAR_ARITHMETIC BIT_VECTOR_REASONING COMPUTE BIT_VECTOR_REASONING BIT_VECTOR_REASONING,all_batch_results-cyy-claude/results-batch_004/o-NR__impl_u__l2_impl__lemma_aligned_addr_mask_facts-20251201-160309/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l2_impl__lemma_aligned_addr_mask_facts-20251203-180411/verus-repair.log
o4mini,NO,NO__spec__linearization__trick_equiv.rs,TIMEOUT,476671,gpt5,23370,3,postcondition_repair INDUCTION,all_batch_results-cyy-o4mini/results-batch_004/o-NO__spec__linearization__trick_equiv-20251127-081124/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NO__spec__linearization__trick_equiv-20251127-045806/verus-repair.log
claude-s4,ST,ST__logimpl_update_inactive_log_metadata.rs,FAILED,475867,claude,213317,11,postcondition_repair precondition_repair precondition_repair precondition_repair EXTENSIONAL_EQUALITY CASE_ANALYSIS USELEMMA USELEMMA ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY,all_batch_results-cyy-claude-s4/results-batch_007/o-ST__logimpl_update_inactive_log_metadata-20251204-180731/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__logimpl_update_inactive_log_metadata-20251202-190502/verus-repair.log
o4mini,MA,MA__bin_sizes__size_of_bin_bounds_not_huge.rs,FAILED,474434,claude-s4,17910,3,postcondition_repair USELEMMA,all_batch_results-cyy-o4mini/results-batch_003/o-MA__bin_sizes__size_of_bin_bounds_not_huge-20251127-182108/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_003/o-MA__bin_sizes__size_of_bin_bounds_not_huge-20251203-173757/verus-repair.log
o4mini,MA,MA__bin_sizes__idx_out_of_range_has_different_bin_size.rs,FAILED,474178,gpt5,30757,3,postcondition_repair COMPUTE,all_batch_results-cyy-o4mini/results-batch_003/o-MA__bin_sizes__idx_out_of_range_has_different_bin_size-20251127-145829/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-MA__bin_sizes__idx_out_of_range_has_different_bin_size-20251127-145814/verus-repair.log
gpt5,ST,ST__subregion_write_relative.rs,TIMEOUT,471820,claude,133289,9,postcondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-gpt5/results-batch_008/o-ST__subregion_write_relative-20251129-140207/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__subregion_write_relative-20251202-124338/verus-repair.log
claude-s4,IR,IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of.rs,FAILED,471630,claude,127774,8,postcondition_repair COMPUTE EXTENSIONAL_EQUALITY SEQSETMAP SEQSETMAP USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251203-121353/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251201-071117/verus-repair.log
claude-s4,MA,MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper.rs,FAILED,471068,claude,318707,14,postcondition_repair USELEMMA USELEMMA INDUCTION precondition_repair SEQSETMAP precondition_repair SEQSETMAP precondition_repair USELEMMA SEQSETMAP EXTENSIONAL_EQUALITY,all_batch_results-cyy-claude-s4/results-batch_004/o-MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper-20251203-134836/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-MA__pigeonhole__pigeonhole_missing_idx_implies_double_helper-20251201-111934/verus-repair.log
gpt5,IR,IR__delegation_map_v__impl1_to_set.rs,TIMEOUT,468504,claude,124018,6,postcondition_repair SEQSETMAP INDUCTIVE_LEMMA INDUCTION SEQSETMAP,all_batch_results-cyy-gpt5/results-batch_002/o-IR__delegation_map_v__impl1_to_set-20251126-044012/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__delegation_map_v__impl1_to_set-20251130-223800/verus-repair.log
o4mini,NO,NO__exec__utils__rids_match_pop.rs,TIMEOUT,467522,claude,15908,3,postcondition_repair INDUCTION,all_batch_results-cyy-o4mini/results-batch_004/o-NO__exec__utils__rids_match_pop-20251127-070019/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NO__exec__utils__rids_match_pop-20251201-120231/verus-repair.log
o4mini,AL,AL__tla_exists_and_equality.rs,FAILED,466003,claude,45589,5,postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_002/o-AL__tla_exists_and_equality-20251125-220708/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-AL__tla_exists_and_equality-20251130-175846/verus-repair.log
o4mini,NO,NO__spec__unbounded_log__LogRangeMatchesQueue_append.rs,FAILED,464321,claude,59220,6,postcondition_repair INDUCTION termination_repair CASE_ANALYSIS INDUCTION,all_batch_results-cyy-o4mini/results-batch_004/o-NO__spec__unbounded_log__LogRangeMatchesQueue_append-20251127-084124/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NO__spec__unbounded_log__LogRangeMatchesQueue_append-20251201-121759/verus-repair.log
o4mini,IR,IR__verus_extra__lemma_seq_fold_left_sum_le.rs,FAILED,464081,gpt5,52875,5,postcondition_repair INDUCTION INDUCTION NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_003/o-IR__verus_extra__lemma_seq_fold_left_sum_le-20251127-110014/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_seq_fold_left_sum_le-20251127-113544/verus-repair.log
claude-s4,NR,NR__impl_u__l1__impl2__lemma_interp_of_entry_between.rs,FAILED,460858,claude,91542,5,postcondition_repair CASE_ANALYSIS SEQSETMAP NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_of_entry_between-20251203-164557/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__impl_u__l1__impl2__lemma_interp_of_entry_between-20251201-145348/verus-repair.log
o4mini,MA,MA__pigeonhole__pigeonhole_too_many_elements_implies_double.rs,FAILED,459921,gpt5,61062,7,postcondition_repair postcondition_repair precondition_repair CASE_ANALYSIS precondition_repair CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_004/o-MA__pigeonhole__pigeonhole_too_many_elements_implies_double-20251127-054834/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-MA__pigeonhole__pigeonhole_too_many_elements_implies_double-20251127-031732/verus-repair.log
o4mini,IR,IR__delegation_map_v__impl4__range_consistent_subset.rs,TIMEOUT,457730,claude,33586,4,postcondition_repair ADD_TRIGGER_ASSERT CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_002/o-IR__delegation_map_v__impl4__range_consistent_subset-20251126-115536/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__delegation_map_v__impl4__range_consistent_subset-20251201-003938/verus-repair.log
claude,VE,VE__regular__leb128__impl2__lemma_parse_high_8_bits_set_until_last.rs,FAILED,455260,gpt5,141235,6,postcondition_repair INDUCTION INDUCTION INDUCTION INDUCTION,all_batch_results-cyy-claude/results-batch_008/o-VE__regular__leb128__impl2__lemma_parse_high_8_bits_set_until_last-20251202-125044/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__leb128__impl2__lemma_parse_high_8_bits_set_until_last-20251129-145716/verus-repair.log
claude,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper1.rs,FAILED,454947,o4mini,622029,15,postcondition_repair USELEMMA SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-claude/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251202-140910/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251129-155355/verus-repair.log
gpt5,MA,MA__layout__bitand_with_mask_gives_rounding.rs,TIMEOUT,451097,claude,95399,9,postcondition_repair INDUCTION BIT_VECTOR_REASONING INDUCTION bitvassert_repair BIT_VECTOR_REASONING NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC,all_batch_results-cyy-gpt5/results-batch_004/o-MA__layout__bitand_with_mask_gives_rounding-20251126-230504/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-MA__layout__bitand_with_mask_gives_rounding-20251201-100612/verus-repair.log
o4mini,OS,OS__process_manager__container_tree__in_subtree_impy_in_subsubtree.rs,FAILED,450252,claude,7462,2,postcondition_repair,all_batch_results-cyy-o4mini/results-batch_007/o-OS__process_manager__container_tree__in_subtree_impy_in_subsubtree-20251129-035617/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-OS__process_manager__container_tree__in_subtree_impy_in_subsubtree-20251202-082847/verus-repair.log
claude-s4,VE,VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper.rs,FAILED,449936,gpt5,94177,6,postcondition_repair INDUCTION INDUCTION INDUCTION INDUCTION,all_batch_results-cyy-claude-s4/results-batch_008/o-VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper-20251204-114933/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__repetition__impl2__theorem_serialize_parse_roundtrip_helper-20251129-184229/verus-repair.log
gpt5,IR,IR__marshal_v__impl2__lemma_serialize_injective.rs,TIMEOUT,448771,claude,436788,20,postcondition_repair USELEMMA precondition_repair EXTENSIONAL_EQUALITY SEQSETMAP COMPUTE SEQSETMAP SEQSETMAP SEQSETMAP COMPUTE SEQSETMAP EXTENSIONAL_EQUALITY,all_batch_results-cyy-gpt5/results-batch_002/o-IR__marshal_v__impl2__lemma_serialize_injective-20251126-203400/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__marshal_v__impl2__lemma_serialize_injective-20251201-064700/verus-repair.log
claude,VE,VE__regular__repetition__impl5__lemma_spec_serialize_max_length.rs,FAILED,448477,gpt5,98089,7,postcondition_repair postcondition_repair postcondition_repair INSTANTIATE_FORALL SEQSETMAP INDUCTION,all_batch_results-cyy-claude/results-batch_008/o-VE__regular__repetition__impl5__lemma_spec_serialize_max_length-20251202-140730/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__repetition__impl5__lemma_spec_serialize_max_length-20251129-185339/verus-repair.log
claude-s4,ST,ST__pmemutil_calculate_crc_bytes.rs,FAILED,447616,claude,489850,20,postcondition_repair SEQSETMAP SEQSETMAP COMPUTE SEQSETMAP ADD_TRIGGER_ASSERT INDUCTIVE_LEMMA EXTENSIONAL_EQUALITY SEQSETMAP COMPUTE USELEMMA CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_008/o-ST__pmemutil_calculate_crc_bytes-20251204-091113/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__pmemutil_calculate_crc_bytes-20251202-111946/verus-repair.log
claude-s4,IR,IR__delegation_map_v__impl3__mind_the_gap.rs,FAILED,447365,claude,53565,5,postcondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__delegation_map_v__impl3__mind_the_gap-20251203-040012/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__delegation_map_v__impl3__mind_the_gap-20251130-233952/verus-repair.log
claude,AL,AL__map_values_to_set_eq_to_set_mk_map_values.rs,FAILED,446579,gpt5,69463,6,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP INSTANTIATE_EXISTS INSTANTIATE_EXISTS,all_batch_results-cyy-claude/results-batch_002/o-AL__map_values_to_set_eq_to_set_mk_map_values-20251130-170231/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__map_values_to_set_eq_to_set_mk_map_values-20251125-181414/verus-repair.log
o4mini,NR,NR__spec_t__mmu__pt_mem__impl0__lemma_write_seq_read.rs,FAILED,445323,gpt5,22446,3,postcondition_repair INDUCTION,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__pt_mem__impl0__lemma_write_seq_read-20251128-164428/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__pt_mem__impl0__lemma_write_seq_read-20251128-122646/verus-repair.log
gpt5,AL,AL__leads_to_always_tla_forall.rs,TIMEOUT,445019,claude,340350,17,postcondition_repair INSTANTIATE_FORALL CASE_ANALYSIS INSTANTIATE_FORALL INDUCTIVE_LEMMA INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY INDUCTIVE_LEMMA postcondition_repair SEQSETMAP INSTANTIATE_FORALL,all_batch_results-cyy-gpt5/results-batch_001/o-AL__leads_to_always_tla_forall-20251126-194804/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AL__leads_to_always_tla_forall-20251201-091346/verus-repair.log
claude-s4,IR,IR__verus_extra__lemma_to_set_distributes_over_addition.rs,FAILED,443415,gpt5,29623,4,postcondition_repair EXTENSIONAL_EQUALITY CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__verus_extra__lemma_to_set_distributes_over_addition-20251203-155706/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_to_set_distributes_over_addition-20251127-123622/verus-repair.log
o4mini,IR,IR__verus_extra__some_differing_index_for_unequal_seqs.rs,FAILED,443314,claude-s4,9852,3,postcondition_repair precondition_repair,all_batch_results-cyy-o4mini/results-batch_003/o-IR__verus_extra__some_differing_index_for_unequal_seqs-20251127-125813/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__verus_extra__some_differing_index_for_unequal_seqs-20251203-161148/verus-repair.log
o4mini,OS,OS__pagetable__pagemap__impl0__init.rs,FAILED,443303,claude,47043,6,postcondition_repair postcondition_repair precondition_repair LOOPINV LOOPINV,all_batch_results-cyy-o4mini/results-batch_006/o-OS__pagetable__pagemap__impl0__init-20251128-232035/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__pagetable__pagemap__impl0__init-20251202-101417/verus-repair.log
o4mini,IR,IR__host_impl_v__impl2__parse_end_points.rs,FAILED,443048,claude,59861,7,loopnodec_repair postcondition_repair postcondition_repair INSTANTIATE_EXISTS LOOPINV LOOPINV,all_batch_results-cyy-o4mini/results-batch_002/o-IR__host_impl_v__impl2__parse_end_points-20251126-163429/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__parse_end_points-20251201-031733/verus-repair.log
claude,AL,AL__seq_filter_preserves_no_duplicates.rs,FAILED,441389,gpt5,67700,6,postcondition_repair INDUCTION INDUCTION INDUCTION INDUCTION,all_batch_results-cyy-claude/results-batch_002/o-AL__seq_filter_preserves_no_duplicates-20251130-173346/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__seq_filter_preserves_no_duplicates-20251125-192857/verus-repair.log
claude-s4,IR,IR__verus_extra__lemma_seq_fold_left_sum_le.rs,FAILED,439468,gpt5,52875,5,postcondition_repair INDUCTION INDUCTION NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__verus_extra__lemma_seq_fold_left_sum_le-20251203-153651/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_seq_fold_left_sum_le-20251127-113544/verus-repair.log
claude-s4,NR,NR__impl_u__l2_impl__impl0__lemma_zero_entry_facts.rs,FAILED,439161,claude,65038,6,postcondition_repair postcondition_repair BIT_VECTOR_REASONING BIT_VECTOR_REASONING plain_text_repair,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_zero_entry_facts-20251203-174925/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_zero_entry_facts-20251201-155923/verus-repair.log
claude-s4,VE,VE__regular__repetition__impl5__lemma_spec_serialize_max_length.rs,FAILED,438528,gpt5,98089,7,postcondition_repair postcondition_repair postcondition_repair INSTANTIATE_FORALL SEQSETMAP INDUCTION,all_batch_results-cyy-claude-s4/results-batch_008/o-VE__regular__repetition__impl5__lemma_spec_serialize_max_length-20251204-120014/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__repetition__impl5__lemma_spec_serialize_max_length-20251129-185339/verus-repair.log
claude,AL,AL__leads_to_stable.rs,FAILED,438307,gpt5,144274,9,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_EXISTS precondition_repair INSTANTIATE_FORALL NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude/results-batch_002/o-AL__leads_to_stable-20251130-163807/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__leads_to_stable-20251125-171645/verus-repair.log
o4mini,MA,MA__bin_sizes__pow2_properties.rs,FAILED,437859,claude,97519,8,postcondition_repair INSTANTIATE_FORALL INDUCTIVE_LEMMA INDUCTIVE_LEMMA INDUCTION USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_003/o-MA__bin_sizes__pow2_properties-20251127-154722/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-MA__bin_sizes__pow2_properties-20251201-125403/verus-repair.log
